Create time for UNORDERED TABLE: 138.419seconds
Create time for ORDERED TABLE: 7.631seconds
Create time for BINARY TREE: 2.405seconds
Create time for AVL: 2.205seconds
Create time for HASH TABLE: 0.178seconds
Create time for UNORDERED MAP: 0.158seconds
of-the 4416 4416 4416 4416 4416 4416 
and-is 72 72 72 72 72 72 
drawing-in 27 27 27 27 27 27 
to-the 1379 1379 1379 1379 1379 1379 
and-it 123 123 123 123 123 123 
to-its 39 39 39 39 39 39 
centres-of 2 2 2 2 2 2 
the-nose 32 32 32 32 32 32 
nostrils-to 3 3 3 3 3 3 
this-toe 2 2 2 2 2 2 
and-foot 4 4 4 4 4 4 
you-will 165 165 165 165 165 165 
its-joint 1 1 1 1 1 1 
of-the 4416 4416 4416 4416 4416 4416 
the-great 53 53 53 53 53 53 
the-elbow 31 31 31 31 31 31 
original-no 2 2 2 2 2 2 
the-head 85 85 85 85 85 85 
v-is 2 2 2 2 2 2 
6-in 7 7 7 7 7 7 
x-f 2 2 2 2 2 2 
is-made 19 19 19 19 19 19 
13-and 2 2 2 2 2 2 
sole-of 9 9 9 9 9 9 
the-leg 33 33 33 33 33 33 
b-c 60 60 60 60 60 60 
of-the 4416 4416 4416 4416 4416 4416 
to-the 1379 1379 1379 1379 1379 1379 
here-dal 1 1 1 1 1 1 
goes-four 1 1 1 1 1 1 
to-the 1379 1379 1379 1379 1379 1379 
calf-of 2 2 2 2 2 2 
no-2 80 80 80 80 80 80 
1-10 8 8 8 8 8 8 
4-of 12 12 12 12 12 12 
man-s 17 17 17 17 17 17 
the-measurements 5 5 5 5 5 5 
limbs-will 2 2 2 2 2 2 
be-the 135 135 135 135 135 135 
the-seventh 5 5 5 5 5 5 
below-the 50 50 50 50 50 50 
the-shoulder 26 26 26 26 26 26 
the-space 64 64 64 64 64 64 
shoulder-and 3 3 3 3 3 3 
4-heads 1 1 1 1 1 1 
seems-to 103 103 103 103 103 103 
does-the 19 19 19 19 19 19 
the-elbow 31 31 31 31 31 31 
to-the 1379 1379 1379 1379 1379 1379 
to-the 1379 1379 1379 1379 1379 1379 
top-of 74 74 74 74 74 74 
7-of 4 4 4 4 4 4 
and-the 1034 1034 1034 1034 1034 1034 
have-insufficient 1 1 1 1 1 1 
n-will 6 6 6 6 6 6 
altogether-at 1 1 1 1 1 1 
effected-by 3 3 3 3 3 3 
in-all 47 47 47 47 47 47 
c-d 75 75 75 75 75 75 
is-arched 1 1 1 1 1 1 
much-as 25 25 25 25 25 25 
this-line 7 7 7 7 7 7 
very-much 10 10 10 10 10 10 
remember-that 11 11 11 11 11 11 
display-all 1 1 1 1 1 1 
many-cases 7 7 7 7 7 7 
the-flesh 13 13 13 13 13 13 
different-measurements 1 1 1 1 1 1 
age-or 1 1 1 1 1 1 
increases-on 1 1 1 1 1 1 
destruction-describe 1 1 1 1 1 1 
applying-to 2 2 2 2 2 2 
is-wrinkled 1 1 1 1 1 1 
a-mass 3 3 3 3 3 3 
the-joints 18 18 18 18 18 18 
his-axis 2 2 2 2 2 2 
in-front 75 75 75 75 75 75 
proceeds-to 2 2 2 2 2 2 
the-weight 45 45 45 45 45 45 
of-a 546 546 546 546 546 546 
stop-running 1 1 1 1 1 1 
lower-leg 2 2 2 2 2 2 
foot-all 1 1 1 1 1 1 
will-he 2 2 2 2 2 2 
of-gravity 13 13 13 13 13 13 
has-less 1 1 1 1 1 1 
the-movements 10 10 10 10 10 10 
centre-of 107 107 107 107 107 107 
you-will 165 165 165 165 165 165 
pulling-a 1 1 1 1 1 1 
he-remarks: 1 1 1 1 1 1 
dead-weight 2 2 2 2 2 2 
all-crossbows 1 1 1 1 1 1 
man-will 4 4 4 4 4 4 
line-a 10 10 10 10 10 10 
great-blow 1 1 1 1 1 1 
which-are 214 214 214 214 214 214 
flat-therefore 1 1 1 1 1 1 
folded-drapery 1 1 1 1 1 1 
the-flesh 13 13 13 13 13 13 
or-an 2 2 2 2 2 1 
draw-the 13 13 13 13 13 13 
for-painters 6 6 6 6 6 6 
to-be 412 412 412 412 412 412 
for-instance 35 35 35 35 35 35 
views-on 2 2 2 2 2 2 
were-written 5 5 5 5 5 5 
secondly-to 1 1 1 1 1 1 
in-the 1786 1786 1786 1786 1786 1786 
a-water 2 2 2 2 2 2 
so-the 15 15 15 15 15 15 
branch-forms 1 1 1 1 1 1 
nourishes-them 4 4 4 4 4 4 
them-399 1 1 1 1 1 1 
prominence-as 1 1 1 1 1 1 
the-plant 8 8 8 8 8 8 
therefore-in 4 4 4 4 4 4 
this-i 23 23 23 23 23 23 
shoot-of 1 1 1 1 1 1 
the-gazette 3 3 3 3 3 3 
their-separation 3 3 3 3 3 3 
forms-of 32 32 32 32 32 32 
to-be 412 412 412 412 412 412 
its-ramification 3 3 3 3 3 3 
such-as 44 44 44 44 44 44 
